0	2	2	6	4	1	3	2	2	7	1	4	4	6	5	3	1000	6	1000	1	2	2	2	6	4	2	1	4	2	1000	3	4	5	4	4	3	3	5	1	3	1000	1	1	2	3	4	4	5	1	2	1	3	4	4	1	6	6	1	4	2	2
2	0	5	3	1	3	3	4	1	3	1	2	2	2	1	1	1	2	2	3	1	3	3	2	1	4	2	2	5	1	4	3	6	1	3	2	4	4	2	1	2	1	3	1000	4	4	3	2	2	4	1	4	1	5	5	5	4	5	2	3	1000
2	5	0	2	3	3	1	7	2	1	3	4	6	4	5	3	2	6	3	4	4	5	1	3	4	2	3	4	2	3	3	3	2	3	3	5	2	1	2	3	8	5	5	5	4	2	2	7	3	1000	3	1	2	3	2	9	4	4	3	2	1
6	3	2	0	3	1	4	4	2	3	4	1	5	4	5	1	1000	3	3	1	2	2	3	7	1000	3	1	1	2	4	3	1	4	1	1	2	1	2	1	3	1	1	2	1000	1	2	3	2	1	3	2	3	1	2	2	6	4	2	4	4	1
4	1	3	3	0	4	3	2	5	5	6	9	3	4	7	2	2	7	1	1000	3	2	2	4	3	5	1	2	6	1	3	5	2	2	3	1000	4	3	3	2	3	2	1	1	5	2	1	2	1	1	2	5	2	3	1000	2	1	5	6	4	2
1	3	3	1	4	0	8	1	6	4	1	2	1	7	1000	6	3	1	7	1000	2	3	2	2	2	2	6	2	5	3	5	6	3	4	1000	3	4	3	9	3	2	2	2	3	3	3	3	3	3	4	2	2	3	6	2	3	1	7	1	5	3
3	3	1	4	3	8	0	2	5	1	4	2	3	5	4	3	4	4	3	3	3	4	1	4	1	2	5	1	3	4	2	4	3	3	3	2	5	3	1	1	4	1000	6	5	1	3	2	3	4	3	4	4	4	3	7	4	2	4	3	2	4
2	4	7	4	2	1	2	0	2	4	5	5	3	3	3	5	3	1	3	8	1	2	4	1	5	5	8	5	5	3	2	1	5	2	1	1	3	1	1	5	4	4	5	4	2	2	3	2	3	6	2	1	3	3	1	4	3	5	1000	1000	3
2	1	2	2	5	6	5	2	0	1	4	3	2	3	3	2	1	1000	2	4	4	4	1	3	3	1	2	1	1	2	4	5	2	2	1000	1	2	2	2	2	4	3	2	2	1	2	4	2	3	3	3	4	2	2	4	3	1	5	1	2	2
7	3	1	3	5	4	1	4	1	0	5	2	3	3	1	4	1	2	4	6	1000	3	3	3	2	3	4	4	4	3	5	4	3	1	1	4	6	1	4	2	3	3	4	1	6	3	2	2	3	2	3	2	3	1	5	4	2	1	5	3	1
1	1	3	4	6	1	4	5	4	5	0	6	2	2	3	4	4	5	4	4	2	3	2	1	3	5	2	2	2	2	5	3	4	4	1	3	3	2	4	2	6	3	4	2	4	2	4	1	1	2	4	1	2	1000	2	1000	2	3	2	4	4
4	2	4	1	9	2	2	5	3	2	6	0	1	1	2	3	3	1	2	2	1000	3	4	5	5	2	3	3	4	2	1	6	6	4	2	4	1	3	3	6	2	5	2	2	5	3	1000	4	4	2	2	1	1	4	2	4	4	5	4	1	5
4	2	6	5	3	1	3	3	2	3	2	1	0	3	5	2	2	4	1	6	5	3	1	3	1000	6	1000	1	3	4	6	1000	3	1	1	1	1	2	1000	2	1	1	5	2	1	5	1	4	3	2	1	1	1	3	4	5	1	4	4	1	4
6	2	4	4	4	7	5	3	3	3	2	1	3	0	2	6	2	4	4	1	3	1	1000	3	1	4	3	1	1	4	2	4	4	4	3	4	2	5	2	3	1	2	4	4	1	3	6	4	4	3	3	2	3	3	2	2	5	3	2	4	2
5	1	5	5	7	1000	4	3	3	1	3	2	5	2	0	2	2	2	6	1000	3	2	3	3	1	1000	5	2	3	5	3	5	1	2	1	5	1	4	1	1000	3	4	2	1000	1	5	1	2	2	3	6	3	2	2	2	1000	2	3	2	4	1
3	1	3	1	2	6	3	5	2	4	4	3	2	6	2	0	6	4	4	2	1	4	3	2	3	3	5	4	2	3	8	5	2	6	2	1	1	4	1	2	5	5	5	3	1	5	3	2	1	5	1	3	1	3	8	4	1000	6	1	3	4
1000	1	2	1000	2	3	4	3	1	1	4	3	2	2	2	6	0	2	3	5	4	1000	2	1000	2	4	1	1000	3	1	4	2	3	3	1	2	2	2	3	3	1	1	1	3	3	4	1000	1	2	4	4	3	1	4	2	1000	1	3	2	4	3
6	2	6	3	7	1	4	1	1000	2	5	1	4	4	2	4	2	0	3	4	4	4	1	4	2	2	5	3	1	3	3	2	3	3	5	1	1	3	2	1000	4	2	3	3	1	3	1	2	2	1	5	1000	8	3	1	8	1	2	1	2	1000
