0.4	600	600	600	600	600
0.42	600	600	600	600	600
0.44	600	600	600	600	600
0.46	600	600	600	600	600
0.48	600	600	600	600	600
0.5	600	600	600	600	600
0.52	600	600	600	600	600
0.54	600	600	600	600	600
0.56	340	330	350	358	344.5
0.58	296	306	299	296	299.25
0.6	267	269	273	272	270.25
0.62	261	259	259	255	258.5
0.64	251	251	250	250	250.5
0.66	247	244	246	245	245.5
0.68	242	242	242	242	242
0.7	240	240	239	240	239.75
0.72	238	239	238	238	238.25
0.74	238	237	237	237	237.25
0.76	237	236	237	236	236.5
0.78	236	236	236	236	236
0.8	236	236	236	236	236
0.82	235	235	235	235	235
0.84	235	236	235	235	235.25
0.86	235	235	235	235	235
0.88	235	235	235	235	235
0.9	235	235	235	235	235
0.92	235	235	235	235	235
0.94	235	235	235	235	235
0.96	235	235	235	235	235
0.98	235	235	235	235	235
